NOME_UF;SIGLA_UF;POP_ESTIMADA
Rondônia;RO;1796460
Acre;AC;894470
Amazonas;AM;4207714
Roraima;RR;631181
Pará;PA;8690745
Amapá;AP;861773
Tocantins;TO;1590248
Maranhão;MA;7114598
Piauí;PI;3281480
Ceará;CE;9187103
Rio Grande do Norte;RN;3534165
Paraíba;PB;4039277
Pernambuco;PE;9616621
Alagoas;AL;3351543
Sergipe;SE;2318822
Bahia;BA;14930634
Minas Gerais;MG;21292666
Espírito Santo;ES;4064052
Rio de Janeiro;RJ;17366189
São Paulo;SP;46289333
Paraná;PR;11516840
Santa Catarina;SC;7252502
Rio Grande do Sul;RS;11422973
Mato Grosso do Sul;MS;2809394
Mato Grosso;MT;3526220
Goiás;GO;7113540
Distrito Federal;DF;3055149
